Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007155~cell adhesion	38	17.84037558685446	9.960426995362227E-13	MPZL2, NRP1, FERMT2, EDIL3, CD151, ITGB1, CD2AP, MEGF10, CD97, ALCAM, CD47, CD9, LGALS3BP, CD44, PVRL3, ITGAV, COL6A3, RAC1, ITGB6, SCARB1, THBS1, LOXL2, MLLT4, ADAM9, FN1, COL18A1, ITGA2, ITGA3, MFGE8, MCAM, COL5A1, VWF, ITGA6, PKP2, CD58, CD99L2, MUC5AC, MUC5B	187	700	13528	3.9271504965622617	1.718258868521616E-9	1.718258868521616E-9	1.6830092874897673E-9
GOTERM_BP_FAT	GO:0022610~biological adhesion	38	17.84037558685446	1.0397450632334934E-12	MPZL2, NRP1, FERMT2, EDIL3, CD151, ITGB1, CD2AP, MEGF10, CD97, ALCAM, CD47, CD9, LGALS3BP, CD44, PVRL3, ITGAV, COL6A3, RAC1, ITGB6, SCARB1, THBS1, LOXL2, MLLT4, ADAM9, FN1, COL18A1, ITGA2, ITGA3, MFGE8, MCAM, COL5A1, VWF, ITGA6, PKP2, CD58, CD99L2, MUC5AC, MUC5B	187	701	13528	3.921548284726937	1.793523662918517E-9	8.967617759481072E-10	1.756739198555124E-9
UP_SEQ_FEATURE	propeptide:Removed in mature form	21	9.859154929577464	1.066845901502509E-12	RAP2B, HRAS, ALPPL2, RHOQ, MAP1LC3B2, ALPP, CDC42, NRAS, CD55, KRAS, RAC2, RAC3, GPC6, CD59, RRAS2, CD58, RAC1, RALB, RAP1A, RAP1B, NT5E	212	229	19113	8.267549641591827	1.0038713194049365E-9	2.0077428608544778E-10	1.6724621687558283E-9
SP_PIR_KEYWORDS	cell adhesion	27	12.676056338028168	1.1280157409627776E-12	MPZL2, FERMT2, EDIL3, ITGB1, MEGF10, ALCAM, CD97, CD47, CD9, LGALS3BP, CD44, ITGAV, PVRL3, ITGB6, COL6A3, THBS1, MLLT4, FN1, COL18A1, ITGA2, MFGE8, ITGA3, MCAM, VWF, ITGA6, PKP2, CD99L2	212	422	19235	5.805072431369043	3.519318170219776E-10	5.865530283699627E-11	1.5163426070330388E-9
SP_PIR_KEYWORDS	disulfide bond	74	34.74178403755869	1.909314810296794E-12	A2M, PXDN, ALPPL2, PZP, NRP1, MPZL2, GPR126, JAG1, EDIL3, MEGF10, CD97, LPHN2, CD47, APOB, CD44, SPINT2, CD46, IL1RAP, CCBE1, LOXL2, NT5E, ADAM9, BSG, ADAM10, SLC3A2, MFGE8, HLA-C, HLA-B, SLC34A3, IGSF8, CA9, F3, F2, CD81, IGSF3, ROR1, PTGFRN, ENPP1, TFR2, ALPP, ITGB1, AHSG, ALCAM, CD9, LGALS3BP, ECE1, PROCR, ALB, ITGAV, PVRL3, COL6A3, ITGB6, SERPINC1, THBS1, FN1, COL18A1, MET, ITGA2, ITGA3, FZD2, TINAGL1, MCAM, EPHA2, VWF, CD55, ITGA6, CD59, CD58, ANTXR2, MUC5AC, PRSS23, PLAU, MUC5B, LRP5, GPR116	212	2924	19235	2.29620512092507	5.957208060181074E-10	8.510292470731429E-11	2.5667357128611457E-9
UP_SEQ_FEATURE	topological domain:Extracellular	71	33.33333333333333	2.151574513285479E-12	SLC44A2, NRP1, GPR126, MPZL2, TSPAN4, TSPAN6, GGT1, JAG1, CD151, SDC4, MEGF10, SDC2, CD97, LPHN2, SLC1A5, CD47, CD44, SPINT2, CD46, IL1RAP, ADAM9, BSG, STX4, ADAM10, SLC3A2, STIM2, HLA-C, HLA-B, SLC34A3, SDC1, IGSF8, CA9, F3, CD81, IGSF3, ROR1, CD99L2, PTGFRN, ENPP1, TFR2, EPHB3, ITGB1, EPHB4, EPHB1, EPHB2, SERINC3, SLC29A1, ALCAM, CD9, SERINC5, ECE1, PROCR, ITGAV, PVRL3, ITGB6, SCARB1, MET, PTPRA, ITGA2, ITGA3, FZD2, MCAM, CD63, EPHA2, SLC16A3, PLSCR1, ITGA6, PLSCR3, CD58, ANTXR2, LRP5, GPR116	212	2719	19113	2.3541934118398133	2.0246671006418637E-9	3.3744451677364395E-10	3.373135104567382E-9
SP_PIR_KEYWORDS	palmitate	20	9.389671361502346	2.4642178804822548E-12	GNA13, HRAS, GNAI3, GNAO1, GNAI2, GNAI1, RP2, GNA12, RFTN1, CD151, CD9, PLSCR1, NRAS, GOLGA7, APOB, KRAS, GNAQ, F3, PLSCR3, GNAS	212	213	19235	8.519355124457437	7.688463199428952E-10	9.61057899928619E-11	3.312672358646296E-9
INTERPRO	IPR001019:Guanine nucleotide binding protein (G-protein), alpha subunit	9	4.225352112676056	6.097603171636598E-12	GNA13, GNAO1, GNAI3, GNAQ, GNAI2, GNAI1, GNA11, GNA12, GNAS	209	16	16659	44.83582535885168	2.487807293505284E-9	2.487807293505284E-9	8.529432715675966E-9
GOTERM_CC_FAT	GO:0009986~cell surface	27	12.676056338028168	8.006683752474278E-12	ENPP1, SDC4, ALPP, ITGB1, EPHB4, ALCAM, ECE1, HSPA2, CD44, APOE, GPC6, ITGAV, SCARB1, THBS1, HSPA8, ADAM9, STX4, ADAM10, SLC3A2, ITGA2, MFGE8, VWF, SDC1, ITGA6, F3, CD59, CD99L2	189	348	12782	5.247126436781609	2.2658979137446522E-9	7.552992675741166E-10	1.0604161992944228E-8
GOTERM_MF_FAT	GO:0005525~GTP binding	25	11.737089201877934	2.3158344149729192E-11	GNA13, HRAS, GNAI3, GNAI2, GNAI1, GNA11, GNA12, RHOQ, CDC42, KRAS, RAC2, RAC3, RAC1, RALB, RAP2B, GNAO1, NIN, NRAS, GNAQ, RRAS2, RAB22A, RHOT2, RAP1A, GNAS, RAP1B	160	372	12983	5.453209005376344	8.012793983880329E-9	4.006396991940164E-9	3.161908512794298E-8
KEGG_PATHWAY	hsa04360:Axon guidance	20	9.389671361502346	2.460456185296968E-11	HRAS, NRP1, GNAI3, GNAI2, LIMK1, GNAI1, MET, EPHB3, EPHB4, ITGB1, EPHA2, EPHB1, EPHB2, CDC42, NRAS, KRAS, RAC2, RAC3, GSK3B, RAC1	113	129	5085	6.976744186046512	2.4358495220866416E-9	2.4358495220866416E-9	2.7257740509156747E-8
SP_PIR_KEYWORDS	phosphoprotein	128	60.093896713615024	2.7663562601960586E-11	GNA13, ALPPL2, GPR126, CHMP5, RP2, GNA12, CNP, CNOT1, AURKA, AURKB, ITSN2, ITSN1, CD2AP, LPHN2, APOB, CD44, APOE, CD46, RPS27A, ADAM9, SCAMP3, BSG, CSNK1G1, RBL2, KIF5B, STIM2, HLA-C, HLA-B, MARK3, ST13, ARPC1B, IGSF8, IGSF3, ROR1, SDCBP, CSNK1G3, PDCD6IP, PTGFRN, CHMP2A, GNAI3, ENPP1, GNAI2, HSPA1A, EPHB3, EPHB4, ITGB1, FTH1, EPHB1, AHSG, CHMP2B, EPHB2, SERINC3, SLC29A1, KRT25, ECE1, ALB, RAC3, RAC1, FN1, CPNE8, ODC1, NIN, RBM12B, MET, ITGA2, HBA2, ITGA3, HBA1, MCAM, EPHA2, DENND1B, EPS15, CD55, ITGA6, PKP2, CD59, ANTXR2, RAP1B, MUC5AC, PLAU, PXDN, NRP1, TSG101, FERMT2, EPS15L1, SDC4, CD97, SLC1A5, IL1RAP, SNTB2, USP11, NT5E, BRD9, STX4, LIMK1, SLC3A2, RFTN1, SDC1, CA9, RRAS2, SH3KBP1, GNAS, SHCBP1, FKBP1A, CEP55, ALPP, MLF2, NUP214, RPL30, HSPA2, DHX15, ENO2, SERPINC1, HSPA8, MLLT4, BRD3, PTPRA, BIRC6, TMEM2, SLC16A3, PLSCR1, NRAS, CSNK1D, CSNK1E, AP2A1, GSK3A, GSK3B, PLSCR3, LRP5, GPR116	212	7263	19235	1.5990065958502515	8.631023895588896E-9	9.59002655065433E-10	3.7187875001620796E-8
UP_SEQ_FEATURE	short sequence motif:Effector region	14	6.572769953051644	3.933006714956953E-11	RAP2B, HRAS, RHOQ, NRAS, CDC42, KRAS, RAC2, RAC3, RRAS2, RAB22A, RAC1, RALB, RAP1A, RAP1B	212	95	19113	13.28609731876862	3.70096184809654E-8	5.287088433725273E-9	6.165867816321224E-8
GOTERM_MF_FAT	GO:0019001~guanyl nucleotide binding	25	11.737089201877934	4.0316440129141695E-11	GNA13, HRAS, GNAI3, GNAI2, GNAI1, GNA11, GNA12, RHOQ, CDC42, KRAS, RAC2, RAC3, RAC1, RALB, RAP2B, GNAO1, NIN, NRAS, GNAQ, RRAS2, RAB22A, RHOT2, RAP1A, GNAS, RAP1B	160	382	12983	5.310454842931937	1.3949480126562719E-8	4.649826745861674E-9	5.5045679125953484E-8
GOTERM_MF_FAT	GO:0032561~guanyl ribonucleotide binding	25	11.737089201877934	4.0316440129141695E-11	GNA13, HRAS, GNAI3, GNAI2, GNAI1, GNA11, GNA12, RHOQ, CDC42, KRAS, RAC2, RAC3, RAC1, RALB, RAP2B, GNAO1, NIN, NRAS, GNAQ, RRAS2, RAB22A, RHOT2, RAP1A, GNAS, RAP1B	160	382	12983	5.310454842931937	1.3949480126562719E-8	4.649826745861674E-9	5.5045679125953484E-8
SP_PIR_KEYWORDS	nucleotide-binding	51	23.943661971830984	5.3008539783131264E-11	GNA13, HRAS, GNA11, GNA12, RHOQ, AURKA, AURKB, CDC42, DYNC2H1, RALB, NT5E, RAP2B, CSNK1G1, KIF5B, LIMK1, MARK3, GNAQ, RRAS2, ROR1, GNAS, CSNK1G3, GNAI3, GNAI2, GNAI1, HSPA1A, EPHB3, EPHB4, EPHB1, EPHB2, HSPA1L, KRAS, HSPA2, RAC2, RAC3, RAC1, DHX15, HSPA6, HSPA7, HSPA8, GNAO1, NIN, MET, EPHA2, NRAS, CSNK1D, GSK3A, CSNK1E, GSK3B, RAB22A, RAP1A, RHOT2, RAP1B	212	1686	19235	2.744536023635265	1.653864767359181E-8	1.6538648228703323E-9	7.125888767944843E-8
SP_PIR_KEYWORDS	ADP-ribosylation	10	4.694835680751173	5.95192946437465E-11	GNAO1, GNAI3, GNAQ, RAC2, GNAI2, GNAI1, GNA11, RAC1, GNAS, RAP1B	212	33	19235	27.49428244711264	1.857001463712038E-8	1.6881831488291255E-9	8.001128648515987E-8
GOTERM_BP_FAT	GO:0016044~membrane organization	26	12.206572769953052	8.253280382690169E-11	HRAS, GNAI3, EPS15L1, ITSN2, ITSN1, MEGF10, FTH1, AHSG, CD9, KRAS, APOE, ITGAV, RAC1, SCARB1, THBS1, HSPA8, STX4, MFGE8, COL5A1, PLSCR1, NRAS, AP2A1, RAB22A, PLSCR3, SH3KBP1, LRP5	187	381	13528	4.936741196120539	1.4236899814612514E-7	4.745633497282853E-8	1.394487525452348E-7
UP_SEQ_FEATURE	disulfide bond	69	32.3943661971831	1.0023233580874646E-10	A2M, PXDN, ALPPL2, NRP1, MPZL2, GPR126, JAG1, EDIL3, MEGF10, CD97, LPHN2, CD47, APOB, CD44, SPINT2, CD46, IL1RAP, CCBE1, LOXL2, ADAM9, BSG, ADAM10, SLC3A2, HLA-C, MFGE8, HLA-B, SLC34A3, IGSF8, CA9, F3, F2, CD81, IGSF3, ROR1, PTGFRN, ENPP1, TFR2, ALPP, ITGB1, AHSG, ALCAM, LGALS3BP, ECE1, PROCR, ALB, ITGAV, PVRL3, COL6A3, ITGB6, SERPINC1, THBS1, FN1, COL18A1, ITGA2, ITGA3, FZD2, TINAGL1, MCAM, EPHA2, VWF, CD55, ITGA6, CD59, CD58, ANTXR2, MUC5AC, PRSS23, PLAU, MUC5B, LRP5	212	2819	19113	2.2067188953663486	9.431866321296667E-8	1.1789833442854558E-8	1.5713657042226714E-7
PIR_SUPERFAMILY	PIRSF002400:GTP-binding regulatory protein Gs alpha chain	9	4.225352112676056	1.2093360373554716E-10	GNA13, GNAO1, GNAI3, GNAQ, GNAI2, GNAI1, GNA11, GNA12, GNAS	137	16	7396	30.36678832116788	1.4512031465407915E-8	1.4512031465407915E-8	1.3882357485783814E-7
GOTERM_BP_FAT	GO:0042060~wound healing	19	8.92018779342723	1.3323003033105202E-10	GNA13, GNA12, ITGA2, COL5A1, CD9, PLSCR1, VWF, SDC1, GNAQ, PROCR, CD44, F3, CD59, F2, SERPINC1, SERPINA1, SCARB1, PLAU, FN1	187	191	13528	7.196349077470112	2.298216935647801E-7	5.745542830393191E-8	2.2510764363659064E-7
SP_PIR_KEYWORDS	thiolester bond	10	4.694835680751173	1.4121068897243819E-10	A2M, GNAO1, GNAI3, GNAI2, GNAI1, F3, ITGB6, GNAS, SCARB1, RPS27A	212	36	19235	25.203092243186582	4.405774045590505E-8	3.6714784545921475E-9	1.8982843075221467E-7
SP_PIR_KEYWORDS	GTP binding	12	5.633802816901409	1.6003503870155909E-10	CDC42, GNAO1, GNAI3, KRAS, GNAQ, RAC2, GNAI2, GNAI1, GNA11, RRAS2, RAC1, GNAS	212	67	19235	16.25035201351732	4.993091418104001E-8	3.840839646329641E-9	2.151337552547261E-7
SP_PIR_KEYWORDS	nucleotide binding	14	6.572769953051644	1.6832232816292252E-10	GNAI3, GNAO1, KIF5B, GNAI2, GNAI1, GNA11, CNP, CDC42, KRAS, GNAQ, RAC2, RRAS2, RAC1, GNAS	212	107	19235	11.871363075295363	5.251657375637819E-8	3.751183919042944E-9	2.262743992176297E-7
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	16	7.511737089201878	2.2546812052069412E-10	ITGA2, ITGA3, SDC4, ITGB1, COL5A1, SDC2, CD47, VWF, SDC1, CD44, ITGA6, ITGAV, ITGB6, COL6A3, THBS1, FN1	113	84	5085	8.571428571428571	2.2321340553688174E-8	1.1160670276844087E-8	2.4978115131801815E-7
KEGG_PATHWAY	hsa04144:Endocytosis	22	10.328638497652582	2.80579579401418E-10	CHMP2A, HRAS, CHMP5, CHMP4B, TSG101, VTA1, MET, HSPA1A, HLA-C, HLA-B, CHMP2B, HSPA1L, EPS15, CDC42, CHMP1B, HSPA2, AP2A1, RAB22A, SH3KBP1, HSPA6, HSPA7, PDCD6IP, HSPA8, VPS25	113	184	5085	5.380434782608695	2.7777376065962756E-8	9.259125466343221E-9	3.108355017822362E-7
SP_PIR_KEYWORDS	P-loop	14	6.572769953051644	4.68951698430871E-10	GNAI3, GNAO1, KIF5B, GNAI2, GNAI1, GNA11, CNP, CDC42, KRAS, GNAQ, RAC2, RRAS2, RAC1, GNAS	212	116	19235	10.950309043591412	1.4631290579103506E-7	9.754194341127231E-9	6.304079591679113E-7
GOTERM_BP_FAT	GO:0009611~response to wounding	29	13.615023474178404	8.349543243015177E-10	GNA13, A2M, NRP1, GNA12, AHSG, CD97, CD9, PROCR, CD44, CD46, IL1RAP, RAC1, ITGB6, SERPINC1, SCARB1, SERPINA1, THBS1, FN1, ITGA2, COL5A1, VWF, PLSCR1, CD55, SDC1, GNAQ, F3, CD59, F2, PLAU	187	530	13528	3.9583493088487542	1.4402951790115637E-6	2.8805920171404154E-7	1.4107530033058424E-6
GOTERM_BP_FAT	GO:0050817~coagulation	14	6.572769953051644	1.3257820893734582E-9	GNA13, GNA12, ITGA2, PLSCR1, VWF, CD9, GNAQ, PROCR, CD59, F3, F2, SERPINC1, SERPINA1, PLAU	187	102	13528	9.929327880884973	2.2869714049189582E-6	3.811622639737777E-7	2.2400638233222026E-6
GOTERM_BP_FAT	GO:0007596~blood coagulation	14	6.572769953051644	1.3257820893734582E-9	GNA13, GNA12, ITGA2, PLSCR1, VWF, CD9, GNAQ, PROCR, CD59, F3, F2, SERPINC1, SERPINA1, PLAU	187	102	13528	9.929327880884973	2.2869714049189582E-6	3.811622639737777E-7	2.2400638233222026E-6
INTERPRO	IPR001806:Ras GTPase	15	7.042253521126761	1.459616199120516E-9	RAP2B, HRAS, RHOQ, NRAS, CDC42, KRAS, RAC2, RAC3, RRAS2, RAB22A, RAC1, RALB, RHOT2, RAP1A, RAP1B	209	135	16659	8.85645933014354	5.955232350585149E-7	2.977616618826673E-7	2.041747537706584E-6
